n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,subtype,model,seed,n_positive_events
554,45,41,296,213,4,0.059756617449493635,0.9111111111111111,0.41846758349705304,0.12166172106824925,0.9815668202764977,0.21465968586387432,0.44026768509059805,0.8381576075092774,T18,overall_logit_z_quality,2027,45
554,45,41,442,67,4,,0.9111111111111111,0.13163064833005894,0.08488612836438923,0.9436619718309859,0.1553030303030303,0.10093869952692626,0.5811831477843266,T18,rule_z_own,2028,45
554,45,37,257,252,8,0.05512685457254727,0.8222222222222222,0.4950884086444008,0.12585034013605442,0.9692307692307692,0.2182890855457227,0.5008006593933793,0.8227024667103252,T18,logit_z_quality,2028,45
554,45,37,230,279,8,0.05672203247992509,0.8222222222222222,0.5481335952848723,0.13857677902621723,0.9721254355400697,0.2371794871794872,0.48144149058699004,0.822920759659463,T18,logit_all,2028,45
554,45,41,308,201,4,0.05923548397792989,0.9111111111111111,0.3948919449901768,0.1174785100286533,0.9804878048780488,0.2081218274111675,0.46787562109234404,0.8252783235101506,T18,overall_logit_z_quality,2028,45
554,45,39,427,82,6,,0.8666666666666667,0.16110019646365423,0.08369098712446352,0.9318181818181818,0.15264187866927592,0.10093869952692626,0.5811831477843266,T18,rule_z_own,2029,45
554,45,38,255,254,7,0.05555839643434194,0.8444444444444444,0.49901768172888017,0.1296928327645051,0.9731800766283525,0.22485207100591714,0.501759371547795,0.825627592228771,T18,logit_z_quality,2029,45
554,45,38,219,290,7,0.0565028450073098,0.8444444444444444,0.5697445972495089,0.14785992217898833,0.9764309764309764,0.25165562913907286,0.4828577610426475,0.8199083169613621,T18,logit_all,2029,45
554,45,41,305,204,4,0.06243675130858104,0.9111111111111111,0.40078585461689586,0.11849710982658959,0.9807692307692307,0.20971867007672634,0.41922994266335556,0.8200829513206723,T18,overall_logit_z_quality,2029,45
554,45,40,425,84,5,,0.8888888888888888,0.1650294695481336,0.08602150537634409,0.9438202247191011,0.1568627450980392,0.10093869952692626,0.5811831477843266,T18,rule_z_own,2030,45
554,45,38,251,258,7,0.05801325787973474,0.8444444444444444,0.5068762278978389,0.1314878892733564,0.9735849056603774,0.2275449101796407,0.45239932858688303,0.8127919668194717,T18,logit_z_quality,2030,45
554,45,37,275,234,8,0.061847243492427595,0.8222222222222222,0.45972495088408644,0.11858974358974358,0.9669421487603306,0.2072829131652661,0.4032557916644284,0.7968565815324165,T18,logit_all,2030,45
554,45,42,304,205,3,0.05981964126278347,0.9333333333333333,0.4027504911591356,0.12138728323699421,0.9855769230769231,0.21483375959079284,0.4538621831892153,0.8221349050425671,T18,overall_logit_z_quality,2030,45
554,13,11,483,58,2,,0.8461538461538461,0.10720887245841035,0.022267206477732792,0.9666666666666667,0.04339250493096647,0.025593732384503652,0.4925351912412911,T21,rule_z_own,2026,13
554,13,7,309,232,6,0.020463093236715038,0.5384615384615384,0.4288354898336414,0.022151898734177215,0.9747899159663865,0.0425531914893617,0.17601490195473674,0.49196644390729416,T21,logit_z_quality,2026,13
554,13,7,198,343,6,0.021874360038059724,0.5384615384615384,0.634011090573013,0.03414634146341464,0.9828080229226361,0.06422018348623854,0.11873278067989168,0.595620645528224,T21,logit_all,2026,13
554,13,7,336,205,6,0.046622391533466055,0.5384615384615384,0.3789279112754159,0.02040816326530612,0.9715639810426541,0.03932584269662921,0.13116436951277385,0.5774207308403242,T21,overall_logit_z_quality,2026,13
554,13,12,501,40,1,,0.9230769230769231,0.07393715341959335,0.023391812865497075,0.975609756097561,0.04562737642585551,0.025593732384503652,0.4925351912412911,T21,rule_z_own,2027,13
554,13,10,351,190,3,0.019934719739139326,0.7692307692307693,0.3512014787430684,0.027700831024930747,0.9844559585492227,0.05347593582887701,0.18298864393598036,0.5988909426987061,T21,logit_z_quality,2027,13
554,13,9,198,343,4,0.021296848768438122,0.6923076923076923,0.634011090573013,0.043478260869565216,0.9884726224783862,0.08181818181818182,0.16110377381557392,0.6741077776197925,T21,logit_all,2027,13
